run_uid,case_uid,seed,dataset_id,dataset_split,dataset_index,class_name,subject,part,normalized_part,part_size,mask_area_ratio,edit,source_prompt,target_prompt,source_image,gt_mask,partedit_reference,output_dir,vis_path,feature_path,log_path,model_name,guidance,num_steps,front,inject,offload,controlnet_type,use_oracle_mask,tdm_mask_mode,attention_token_mode,attention_part,attention_edit,attention_layers,cwd,config_path,repro_command
real_0006_seed_000,real_0006,0,Aleksandar/PartEdit-Bench,real,6,animal_head,man,head,head,small,0.0071868896484375,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,core/data/partedit_subset/cases/real_0006/source.png,core/data/partedit_subset/cases/real_0006/gt_mask.png,core/data/partedit_subset/cases/real_0006/partedit_reference.png,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_000,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_000/tdm,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_000/features,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_000/run.log,flux-dev,2.0,15,2,4,True,none,False,attention_gated,part,head,alien,"28,29,30,31,32,33,34,35,36,37",core/third_party/FollowYourShape/src,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_000/run_config.json,"cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0006/source.png --source_prompt 'a man standing in a park wearing a green shirt' --target_prompt 'a man with alien head standing in a park wearing a green shirt' --guidance 2.0 --num_steps 15 --front 2 --inject 4 --name flux-dev --controlnet_type none --output_dir ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_000 --vis_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_000/tdm --feature_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_000/features --seed 0 --offload --tdm_mask_mode attention_gated --attention_token_mode part --attention_part head --attention_edit alien --attention_layers 28,29,30,31,32,33,34,35,36,37"
real_0006_seed_001,real_0006,1,Aleksandar/PartEdit-Bench,real,6,animal_head,man,head,head,small,0.0071868896484375,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,core/data/partedit_subset/cases/real_0006/source.png,core/data/partedit_subset/cases/real_0006/gt_mask.png,core/data/partedit_subset/cases/real_0006/partedit_reference.png,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_001,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_001/tdm,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_001/features,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_001/run.log,flux-dev,2.0,15,2,4,True,none,False,attention_gated,part,head,alien,"28,29,30,31,32,33,34,35,36,37",core/third_party/FollowYourShape/src,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_001/run_config.json,"cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0006/source.png --source_prompt 'a man standing in a park wearing a green shirt' --target_prompt 'a man with alien head standing in a park wearing a green shirt' --guidance 2.0 --num_steps 15 --front 2 --inject 4 --name flux-dev --controlnet_type none --output_dir ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_001 --vis_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_001/tdm --feature_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_001/features --seed 1 --offload --tdm_mask_mode attention_gated --attention_token_mode part --attention_part head --attention_edit alien --attention_layers 28,29,30,31,32,33,34,35,36,37"
real_0006_seed_002,real_0006,2,Aleksandar/PartEdit-Bench,real,6,animal_head,man,head,head,small,0.0071868896484375,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,core/data/partedit_subset/cases/real_0006/source.png,core/data/partedit_subset/cases/real_0006/gt_mask.png,core/data/partedit_subset/cases/real_0006/partedit_reference.png,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_002,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_002/tdm,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_002/features,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_002/run.log,flux-dev,2.0,15,2,4,True,none,False,attention_gated,part,head,alien,"28,29,30,31,32,33,34,35,36,37",core/third_party/FollowYourShape/src,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_002/run_config.json,"cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0006/source.png --source_prompt 'a man standing in a park wearing a green shirt' --target_prompt 'a man with alien head standing in a park wearing a green shirt' --guidance 2.0 --num_steps 15 --front 2 --inject 4 --name flux-dev --controlnet_type none --output_dir ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_002 --vis_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_002/tdm --feature_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0006/seed_002/features --seed 2 --offload --tdm_mask_mode attention_gated --attention_token_mode part --attention_part head --attention_edit alien --attention_layers 28,29,30,31,32,33,34,35,36,37"
real_0008_seed_000,real_0008,0,Aleksandar/PartEdit-Bench,real,8,animal_head,dog,head,head,small,0.024127960205078125,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,core/data/partedit_subset/cases/real_0008/source.png,core/data/partedit_subset/cases/real_0008/gt_mask.png,core/data/partedit_subset/cases/real_0008/partedit_reference.png,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_000,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_000/tdm,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_000/features,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_000/run.log,flux-dev,2.0,15,2,4,True,none,False,attention_gated,part,head,bear,"28,29,30,31,32,33,34,35,36,37",core/third_party/FollowYourShape/src,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_000/run_config.json,"cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0008/source.png --source_prompt 'a dog standing in a field with grass and water' --target_prompt 'a dog with bear head standing in a field with grass and water' --guidance 2.0 --num_steps 15 --front 2 --inject 4 --name flux-dev --controlnet_type none --output_dir ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_000 --vis_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_000/tdm --feature_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_000/features --seed 0 --offload --tdm_mask_mode attention_gated --attention_token_mode part --attention_part head --attention_edit bear --attention_layers 28,29,30,31,32,33,34,35,36,37"
real_0008_seed_001,real_0008,1,Aleksandar/PartEdit-Bench,real,8,animal_head,dog,head,head,small,0.024127960205078125,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,core/data/partedit_subset/cases/real_0008/source.png,core/data/partedit_subset/cases/real_0008/gt_mask.png,core/data/partedit_subset/cases/real_0008/partedit_reference.png,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_001,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_001/tdm,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_001/features,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_001/run.log,flux-dev,2.0,15,2,4,True,none,False,attention_gated,part,head,bear,"28,29,30,31,32,33,34,35,36,37",core/third_party/FollowYourShape/src,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_001/run_config.json,"cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0008/source.png --source_prompt 'a dog standing in a field with grass and water' --target_prompt 'a dog with bear head standing in a field with grass and water' --guidance 2.0 --num_steps 15 --front 2 --inject 4 --name flux-dev --controlnet_type none --output_dir ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_001 --vis_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_001/tdm --feature_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_001/features --seed 1 --offload --tdm_mask_mode attention_gated --attention_token_mode part --attention_part head --attention_edit bear --attention_layers 28,29,30,31,32,33,34,35,36,37"
real_0008_seed_002,real_0008,2,Aleksandar/PartEdit-Bench,real,8,animal_head,dog,head,head,small,0.024127960205078125,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,core/data/partedit_subset/cases/real_0008/source.png,core/data/partedit_subset/cases/real_0008/gt_mask.png,core/data/partedit_subset/cases/real_0008/partedit_reference.png,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_002,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_002/tdm,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_002/features,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_002/run.log,flux-dev,2.0,15,2,4,True,none,False,attention_gated,part,head,bear,"28,29,30,31,32,33,34,35,36,37",core/third_party/FollowYourShape/src,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_002/run_config.json,"cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0008/source.png --source_prompt 'a dog standing in a field with grass and water' --target_prompt 'a dog with bear head standing in a field with grass and water' --guidance 2.0 --num_steps 15 --front 2 --inject 4 --name flux-dev --controlnet_type none --output_dir ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_002 --vis_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_002/tdm --feature_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0008/seed_002/features --seed 2 --offload --tdm_mask_mode attention_gated --attention_token_mode part --attention_part head --attention_edit bear --attention_layers 28,29,30,31,32,33,34,35,36,37"
real_0003_seed_000,real_0003,0,Aleksandar/PartEdit-Bench,real,3,animal_head,horse,head,head,small,0.02970123291015625,cheetah,a horse running in a field,a horse with cheetah head running in a field,core/data/partedit_subset/cases/real_0003/source.png,core/data/partedit_subset/cases/real_0003/gt_mask.png,core/data/partedit_subset/cases/real_0003/partedit_reference.png,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_000,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_000/tdm,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_000/features,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_000/run.log,flux-dev,2.0,15,2,4,True,none,False,attention_gated,part,head,cheetah,"28,29,30,31,32,33,34,35,36,37",core/third_party/FollowYourShape/src,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_000/run_config.json,"cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0003/source.png --source_prompt 'a horse running in a field' --target_prompt 'a horse with cheetah head running in a field' --guidance 2.0 --num_steps 15 --front 2 --inject 4 --name flux-dev --controlnet_type none --output_dir ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_000 --vis_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_000/tdm --feature_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_000/features --seed 0 --offload --tdm_mask_mode attention_gated --attention_token_mode part --attention_part head --attention_edit cheetah --attention_layers 28,29,30,31,32,33,34,35,36,37"
real_0003_seed_001,real_0003,1,Aleksandar/PartEdit-Bench,real,3,animal_head,horse,head,head,small,0.02970123291015625,cheetah,a horse running in a field,a horse with cheetah head running in a field,core/data/partedit_subset/cases/real_0003/source.png,core/data/partedit_subset/cases/real_0003/gt_mask.png,core/data/partedit_subset/cases/real_0003/partedit_reference.png,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_001,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_001/tdm,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_001/features,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_001/run.log,flux-dev,2.0,15,2,4,True,none,False,attention_gated,part,head,cheetah,"28,29,30,31,32,33,34,35,36,37",core/third_party/FollowYourShape/src,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_001/run_config.json,"cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0003/source.png --source_prompt 'a horse running in a field' --target_prompt 'a horse with cheetah head running in a field' --guidance 2.0 --num_steps 15 --front 2 --inject 4 --name flux-dev --controlnet_type none --output_dir ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_001 --vis_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_001/tdm --feature_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_001/features --seed 1 --offload --tdm_mask_mode attention_gated --attention_token_mode part --attention_part head --attention_edit cheetah --attention_layers 28,29,30,31,32,33,34,35,36,37"
real_0003_seed_002,real_0003,2,Aleksandar/PartEdit-Bench,real,3,animal_head,horse,head,head,small,0.02970123291015625,cheetah,a horse running in a field,a horse with cheetah head running in a field,core/data/partedit_subset/cases/real_0003/source.png,core/data/partedit_subset/cases/real_0003/gt_mask.png,core/data/partedit_subset/cases/real_0003/partedit_reference.png,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_002,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_002/tdm,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_002/features,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_002/run.log,flux-dev,2.0,15,2,4,True,none,False,attention_gated,part,head,cheetah,"28,29,30,31,32,33,34,35,36,37",core/third_party/FollowYourShape/src,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_002/run_config.json,"cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0003/source.png --source_prompt 'a horse running in a field' --target_prompt 'a horse with cheetah head running in a field' --guidance 2.0 --num_steps 15 --front 2 --inject 4 --name flux-dev --controlnet_type none --output_dir ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_002 --vis_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_002/tdm --feature_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0003/seed_002/features --seed 2 --offload --tdm_mask_mode attention_gated --attention_token_mode part --attention_part head --attention_edit cheetah --attention_layers 28,29,30,31,32,33,34,35,36,37"
real_0002_seed_000,real_0002,0,Aleksandar/PartEdit-Bench,real,2,chair,chair,seat,seat,small,0.029911041259765625,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,core/data/partedit_subset/cases/real_0002/source.png,core/data/partedit_subset/cases/real_0002/gt_mask.png,core/data/partedit_subset/cases/real_0002/partedit_reference.png,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0002/seed_000,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0002/seed_000/tdm,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0002/seed_000/features,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0002/seed_000/run.log,flux-dev,2.0,15,2,4,True,none,False,attention_gated,part,seat,mesh,"28,29,30,31,32,33,34,35,36,37",core/third_party/FollowYourShape/src,core/results/fys_mask_ablation/attention_gated_tdm_part/real_0002/seed_000/run_config.json,"cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0002/source.png --source_prompt 'a chair and table in front of a glass door' --target_prompt 'a chair with mesh seat and table in front of a glass door' --guidance 2.0 --num_steps 15 --front 2 --inject 4 --name flux-dev --controlnet_type none --output_dir ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0002/seed_000 --vis_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0002/seed_000/tdm --feature_path ../../../results/fys_mask_ablation/attention_gated_tdm_part/real_0002/seed_000/features --seed 0 --offload --tdm_mask_mode attention_gated --attention_token_mode part --attention_part seat --attention_edit mesh --attention_layers 28,29,30,31,32,33,34,35,36,37"
