row_uid,case_uid,seed,method,part,edit,part_size,footprint_change,source_prompt,target_prompt,source_image,gt_mask,edited_image,available,reason,image_sha256
gt-diagnostic-v2::endpoint_auto::synth_0000::seed_000,synth_0000,0,endpoint_auto,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0000/seed_000/img_0.jpg,True,,f75ab332592a27e58409887810e69be6dd1925e80e095f0d4fb42db425adc6f9
gt-diagnostic-v2::endpoint_gt::synth_0000::seed_000,synth_0000,0,endpoint_gt,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0000/seed_000/img_0.jpg,True,,a257c0a33f1eafb8268dda6b8d814b0b829c43565a3bb44a6896a2bd181c19f8
gt-diagnostic-v2::rk2_auto::synth_0000::seed_000,synth_0000,0,rk2_auto,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0000/seed_000/img_0.jpg,True,,74649f30ce1c031a7a4761dff8cdd7310630961c876c71b1279200ec51698e35
gt-diagnostic-v2::rk2_gt::synth_0000::seed_000,synth_0000,0,rk2_gt,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0000/seed_000/img_0.jpg,True,,9581d56bbfd0e558ca7c804b91f0a49b8be73d55d171a46ff85d03d5aaf58d95
gt-diagnostic-v2::rk2_n15_auto::synth_0000::seed_000,synth_0000,0,rk2_n15_auto,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0000/seed_000/img_0.jpg,True,,67bb0dce9fdd881da0dc43a17b8550f7e89a1189a5f7d68aec0df54c691ba8f1
gt-diagnostic-v2::rk2_n15_gt::synth_0000::seed_000,synth_0000,0,rk2_n15_gt,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_gt/synth_0000/seed_000/img_0.jpg,True,,66dd7a5b0f6904940f11a352dd40751591a6ae6a0a0ee39aa7bed1d4f9943a3f
gt-diagnostic-v2::endpoint_auto::synth_0001::seed_000,synth_0001,0,endpoint_auto,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0001/seed_000/img_0.jpg,True,,7a28b54fc621200e336b68d84c635416a5d73520cda42e6988576a62a64851d9
gt-diagnostic-v2::endpoint_gt::synth_0001::seed_000,synth_0001,0,endpoint_gt,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/gt_mask_diagnostic_v2/endpoint_gt/synth_0001/seed_000/img_0.jpg,True,,c80c7179ef80baf2bd434979457c68f09a98624241efd575092abaf8c7e60023
gt-diagnostic-v2::rk2_auto::synth_0001::seed_000,synth_0001,0,rk2_auto,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0001/seed_000/img_0.jpg,True,,9b4e03dd61ad35904ef3cd0fb056ef06fb785a4a21b3162c1c84da52d0ca6be2
gt-diagnostic-v2::rk2_gt::synth_0001::seed_000,synth_0001,0,rk2_gt,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_gt/synth_0001/seed_000/img_0.jpg,True,,1035a0508029360581ceb4046523a8c6edd4134fac423f362f543ae02dfbda97
gt-diagnostic-v2::rk2_n15_auto::synth_0001::seed_000,synth_0001,0,rk2_n15_auto,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/gt_mask_diagnostic_v2/rk2_n15_auto/synth_0001/seed_000/img_0.jpg,True,,53668842a90f2679ab71bfa6fe0a0d4f675b27eaa2ba93b9617e27f41feac932
