"review_uid","part","edit","source_prompt","target_prompt","source_image","candidate_image","local_edit_success_0_2","non_target_preservation_0_2","overall_prompt_adherence_0_2","visual_quality_0_2","short_note"
"item_1a6285d10c64","hair","Curls","A Portrait of man at a house","A Portrait of man with Curls hair at a house","assets/source_1837be64cd68.png","assets/item_1a6285d10c64.jpg","2","1","2","2",""
"item_d9eb7243b054","head","robot","A alien at a museum","A alien with robot head at a museum","assets/source_0776f3ccf0e9.png","assets/item_d9eb7243b054.jpg","2","2","2","2",""
"item_1b722fd817f0","car body","armored","A luxury-car at a mountain road","A luxury-car with armored car body at a mountain road","assets/source_4a1c085cfce4.png","assets/item_1b722fd817f0.jpg","0","2","1","2",""
"item_204089a44545","head","dragon","A horse at a zoo","A horse with dragon head at a zoo","assets/source_dbfa710ac399.png","assets/item_204089a44545.jpg","0","2","1","2",""
"item_5ef6191c3aa4","torso","robotic-parts","A dinosaur at a museum","A dinosaur with robotic-parts torso at a museum","assets/source_1e3c08a912fe.png","assets/item_5ef6191c3aa4.jpg","2","1","2","2",""
"item_0179bc6f5434","torso","armor","A girl at a stadium","A girl with armor torso at a stadium","assets/source_05f0e921e87d.png","assets/item_0179bc6f5434.jpg","2","2","2","2",""
"item_724723a2d041","car hood","Graffiti","A full front facing view of Toyota car at a parking lot","A full front facing view of Toyota car with Graffiti car hood at a parking lot","assets/source_d13dfe80a435.png","assets/item_724723a2d041.jpg","2","1","2","2",""
"item_29e96fac6cbf","car body","futuristic","A sedan at a parking lot","A sedan with futuristic car body at a parking lot","assets/source_ef3648f18171.png","assets/item_29e96fac6cbf.jpg","2","1","2","2",""
"item_0cb54e42d8d1","head","dragon","A horse at a jungle","A horse with dragon head at a jungle","assets/source_2b822a970173.png","assets/item_0cb54e42d8d1.jpg","0","1","1","2",""
"item_7926fe9e5778","seat","rusted","A closeup folding chair at a classroom","A closeup folding chair with rusted seat at a classroom","assets/source_97eab3ccdecd.png","assets/item_7926fe9e5778.jpg","0","2","2","2",""
"item_2a82eb07e089","head","dragon","A horse at a zoo","A horse with dragon head at a zoo","assets/source_dbfa710ac399.png","assets/item_2a82eb07e089.jpg","0","1","1","2",""
"item_c1baa48e9e1a","hair","Curls","A Portrait of man at a house","A Portrait of man with Curls hair at a house","assets/source_1837be64cd68.png","assets/item_c1baa48e9e1a.jpg","2","1","2","2",""
"item_f2d8119a0304","torso","formal-suit","A robot at a restaurant","A robot with formal-suit torso at a restaurant","assets/source_2e6979609916.png","assets/item_f2d8119a0304.jpg","2","1","2","2",""
"item_05360292fa8f","head","dragon","A dog at a farm","A dog with dragon head at a farm","assets/source_2a043df583fd.png","assets/item_05360292fa8f.jpg","0","2","1","2",""
"item_47e7d916d4ac","head","robot","A alien at a museum","A alien with robot head at a museum","assets/source_0776f3ccf0e9.png","assets/item_47e7d916d4ac.jpg","2","1","1","2",""
"item_7c581b5a55a6","head","lion","A dog at a pool","A dog with lion head at a pool","assets/source_fc07bb02f53f.png","assets/item_7c581b5a55a6.jpg","0","2","1","2",""
"item_22c1f53fab45","head","cat","A dog at a restaurant","A dog with cat head at a restaurant","assets/source_ca463355e687.png","assets/item_22c1f53fab45.jpg","0","1","1","2",""
"item_92537f0f3cf9","torso","batman","A robot at a school","A robot with batman torso at a school","assets/source_8bcbeeb53dd4.png","assets/item_92537f0f3cf9.jpg","2","2","2","2",""
"item_b1c1b55bc7db","car hood","Graffiti","A full front facing view of Toyota car at a parking lot","A full front facing view of Toyota car with Graffiti car hood at a parking lot","assets/source_d13dfe80a435.png","assets/item_b1c1b55bc7db.jpg","2","2","2","2",""
"item_6b27da9a7c55","car hood","Destroyed","A full front facing view of BMW car at a parking lot","A full front facing view of BMW car with Destroyed car hood at a parking lot","assets/source_146c36946692.png","assets/item_6b27da9a7c55.jpg","2","1","2","2",""
"item_19edf3b5faa9","hair","Curls","A Portrait of boy at a park","A Portrait of boy with Curls hair at a park","assets/source_b4d7f2d52a43.png","assets/item_19edf3b5faa9.jpg","2","2","2","2",""
"item_5a60fd12ee30","torso","robotic-parts","A dinosaur at a museum","A dinosaur with robotic-parts torso at a museum","assets/source_1e3c08a912fe.png","assets/item_5a60fd12ee30.jpg","2","1","2","2",""
"item_d5a49c09985c","hair","Curls","A Portrait of woman at a school","A Portrait of woman with Curls hair at a school","assets/source_8a5f145d5ed6.png","assets/item_d5a49c09985c.jpg","2","1","2","2",""
"item_b0c2b5099b02","head","lion","A bear at a zoo","A bear with lion head at a zoo","assets/source_b8ba5e41ea31.png","assets/item_b0c2b5099b02.jpg","1","2","2","2",""
"item_a49ceb22f264","head","alien","A robot at a park","A robot with alien head at a park","assets/source_f388d78833d6.png","assets/item_a49ceb22f264.jpg","2","1","2","2",""
"item_3f0cc4170823","head","cheetah","A cat at a museum","A cat with cheetah head at a museum","assets/source_f3d1d79f0351.png","assets/item_3f0cc4170823.jpg","0","2","1","2",""
"item_c54709723559","torso","armor","A boy at a restaurant","A boy with armor torso at a restaurant","assets/source_cea0cb0755a1.png","assets/item_c54709723559.jpg","2","1","2","2",""
"item_d8378eae1c90","seat","fabric","A closeup leather chair at a apartment","A closeup leather chair with fabric seat at a apartment","assets/source_278976611c82.png","assets/item_d8378eae1c90.jpg","2","2","2","2",""
"item_a9174fc80659","car body","rusted","A classic-car at a suburban road","A classic-car with rusted car body at a suburban road","assets/source_a90c17d919ed.png","assets/item_a9174fc80659.jpg","2","1","2","2",""
"item_39d9cbd27690","head","tiger","A bear at a pool","A bear with tiger head at a pool","assets/source_41c7b285ef4c.png","assets/item_39d9cbd27690.jpg","1","1","2","2",""
"item_c00299e2ec78","head","panda","A cat at a mountain","A cat with panda head at a mountain","assets/source_dd35579b4d43.png","assets/item_c00299e2ec78.jpg","1","2","1","2",""
"item_09c345d7a738","head","lion","A bear at a zoo","A bear with lion head at a zoo","assets/source_b8ba5e41ea31.png","assets/item_09c345d7a738.jpg","1","2","1","2",""
"item_969bdc7237b0","hair","blond","A Portrait of man at a beach","A Portrait of man with blond hair at a beach","assets/source_6ce9a1e568d3.png","assets/item_969bdc7237b0.jpg","2","1","1","2",""
"item_c762bb5e78eb","head","unicorn","A dog at a mountain","A dog with unicorn head at a mountain","assets/source_ee57f3a3ed86.png","assets/item_c762bb5e78eb.jpg","1","2","1","2",""
"item_88f2e075b9e5","head","dragon","A horse at a jungle","A horse with dragon head at a jungle","assets/source_2b822a970173.png","assets/item_88f2e075b9e5.jpg","0","2","1","2",""
"item_da9f39f9dd2d","car hood","vinyl-art","A classic-car at a garage","A classic-car with vinyl-art car hood at a garage","assets/source_f3b27b9b2ef0.png","assets/item_da9f39f9dd2d.jpg","2","2","2","2",""
"item_af975da94e49","seat","fabric","A closeup leather chair at a apartment","A closeup leather chair with fabric seat at a apartment","assets/source_278976611c82.png","assets/item_af975da94e49.jpg","2","2","2","2",""
"item_fd806bf33a9d","hair","Afro","A Portrait of boy at a beach","A Portrait of boy with Afro hair at a beach","assets/source_0038f682b22a.png","assets/item_fd806bf33a9d.jpg","2","1","2","2",""
"item_c525a631cdde","seat","fabric","A closeup leather chair at a apartment","A closeup leather chair with fabric seat at a apartment","assets/source_278976611c82.png","assets/item_c525a631cdde.jpg","2","2","2","2",""
"item_8d7b1a34ef6b","hair","Kinky","A Portrait of boy at a park","A Portrait of boy with Kinky hair at a park","assets/source_0d500a8d6ca9.png","assets/item_8d7b1a34ef6b.jpg","2","2","2","2",""
"item_ded5bcf170f0","torso","spiderman","A robot at a museum","A robot with spiderman torso at a museum","assets/source_63f2eb2cd129.png","assets/item_ded5bcf170f0.jpg","1","1","2","2",""
"item_d92fa5b55d6f","head","cheetah","A panda at a school","A panda with cheetah head at a school","assets/source_3506d9604bf8.png","assets/item_d92fa5b55d6f.jpg","0","1","2","2",""
"item_e581dd992747","hair","blond","A Portrait of man at a beach","A Portrait of man with blond hair at a beach","assets/source_6ce9a1e568d3.png","assets/item_e581dd992747.jpg","2","2","2","2",""
"item_ac48468a957c","head","cheetah","A cat at a museum","A cat with cheetah head at a museum","assets/source_f3d1d79f0351.png","assets/item_ac48468a957c.jpg","1","2","2","2",""
"item_d71ad632b800","hair","Kinky","A Portrait of boy at a park","A Portrait of boy with Kinky hair at a park","assets/source_0d500a8d6ca9.png","assets/item_d71ad632b800.jpg","2","2","2","2",""
"item_bc93ae9e2fce","head","lion","A dog at a pool","A dog with lion head at a pool","assets/source_fc07bb02f53f.png","assets/item_bc93ae9e2fce.jpg","1","1","1","2",""
"item_aee82b52d760","car body","futuristic","A sedan at a parking lot","A sedan with futuristic car body at a parking lot","assets/source_ef3648f18171.png","assets/item_aee82b52d760.jpg","2","2","2","2",""
"item_8e61cc280d1d","torso","uniform","A alien at a school","A alien with uniform torso at a school","assets/source_4ad3086c4953.png","assets/item_8e61cc280d1d.jpg","2","1","2","2",""
"item_e1df5717589a","torso","formal-suit","A robot at a restaurant","A robot with formal-suit torso at a restaurant","assets/source_2e6979609916.png","assets/item_e1df5717589a.jpg","2","0","1","2",""
"item_818c0a41b784","torso","robotic-parts","A dinosaur at a museum","A dinosaur with robotic-parts torso at a museum","assets/source_1e3c08a912fe.png","assets/item_818c0a41b784.jpg","2","2","2","2",""
"item_39ef02efbc76","car hood","Rusty","A full front facing view of Porsche car at a road","A full front facing view of Porsche car with Rusty car hood at a road","assets/source_7e515b8abb95.png","assets/item_39ef02efbc76.jpg","2","2","2","2",""
"item_72d0d6b60fca","car body","futuristic","A sedan at a parking lot","A sedan with futuristic car body at a parking lot","assets/source_ef3648f18171.png","assets/item_72d0d6b60fca.jpg","2","1","2","2",""
"item_2460ab81e3b8","head","robot","A alien at a museum","A alien with robot head at a museum","assets/source_0776f3ccf0e9.png","assets/item_2460ab81e3b8.jpg","2","1","2","2",""
"item_e89f685e2072","head","lion","A dog at a pool","A dog with lion head at a pool","assets/source_fc07bb02f53f.png","assets/item_e89f685e2072.jpg","1","1","1","2",""
"item_36ec3fa4ca23","head","cat","A dog at a restaurant","A dog with cat head at a restaurant","assets/source_ca463355e687.png","assets/item_36ec3fa4ca23.jpg","0","1","","2",""
"item_b35655497593","car hood","Digital-Camouflage","A full front facing view of racing car at a parking lot","A full front facing view of racing car with Digital-Camouflage car hood at a parking lot","assets/source_073b896945b5.png","assets/item_b35655497593.jpg","2","2","2","2",""
"item_c33a80f9940f","head","bear","A robot at a school","A robot with bear head at a school","assets/source_5bd8b0acdbd5.png","assets/item_c33a80f9940f.jpg","2","1","2","2",""
"item_6d85279a7f13","head","bear","A alien at a museum","A alien with bear head at a museum","assets/source_30f9afb55b24.png","assets/item_6d85279a7f13.jpg","0","1","1","2",""
"item_29cf9d2a880c","head","unicorn","A cow at a house","A cow with unicorn head at a house","assets/source_70a3202c4158.png","assets/item_29cf9d2a880c.jpg","2","1","2","2",""
"item_c483e13f92d2","car hood","Rusty","A full front facing view of Porsche car at a road","A full front facing view of Porsche car with Rusty car hood at a road","assets/source_7e515b8abb95.png","assets/item_c483e13f92d2.jpg","","1","1","2",""
"item_0e9d706a98cb","hair","Curls","A Portrait of man at a house","A Portrait of man with Curls hair at a house","assets/source_1837be64cd68.png","assets/item_0e9d706a98cb.jpg","2","1","2","2",""
"item_e6cdccfe14b5","head","panda","A cat at a mountain","A cat with panda head at a mountain","assets/source_dd35579b4d43.png","assets/item_e6cdccfe14b5.jpg","","2","1","2",""
"item_d02e6ff7660a","head","dragon","A dog at a farm","A dog with dragon head at a farm","assets/source_2a043df583fd.png","assets/item_d02e6ff7660a.jpg","0","1","1","2",""
"item_6b7c8c2658f4","hair","Kinky","A Portrait of boy at a park","A Portrait of boy with Kinky hair at a park","assets/source_0d500a8d6ca9.png","assets/item_6b7c8c2658f4.jpg","2","2","2","2",""
"item_ac9d1232cb4e","head","dog","A bear at a jungle","A bear with dog head at a jungle","assets/source_f71c7b525544.png","assets/item_ac9d1232cb4e.jpg","0","1","1","2",""
"item_d1f48c0d7913","seat","plastic","A closeup soft chair at a photo studio","A closeup soft chair with plastic seat at a photo studio","assets/source_b25f9980445d.png","assets/item_d1f48c0d7913.jpg","1","1","2","2",""
"item_53da42752f06","torso","batman","A robot at a school","A robot with batman torso at a school","assets/source_8bcbeeb53dd4.png","assets/item_53da42752f06.jpg","2","1","2","2",""
"item_c555eaac5238","seat","plastic","A closeup soft chair at a photo studio","A closeup soft chair with plastic seat at a photo studio","assets/source_b25f9980445d.png","assets/item_c555eaac5238.jpg","1","1","2","2",""
"item_3bf12541cc39","head","bear","A alien at a museum","A alien with bear head at a museum","assets/source_30f9afb55b24.png","assets/item_3bf12541cc39.jpg","0","1","2","2",""
"item_7f9f282c1b99","car hood","Rusty","A full front facing view of Porsche car at a road","A full front facing view of Porsche car with Rusty car hood at a road","assets/source_7e515b8abb95.png","assets/item_7f9f282c1b99.jpg","2","1","2","2",""
"item_6d03dccb2f41","head","dog","A bear at a jungle","A bear with dog head at a jungle","assets/source_f71c7b525544.png","assets/item_6d03dccb2f41.jpg","1","2","2","2",""
"item_bedb66ef013e","head","robot","A alien at a city","A alien with robot head at a city","assets/source_6094cd95fb45.png","assets/item_bedb66ef013e.jpg","2","1","2","2",""
"item_3b8bae8e4f21","torso","spiderman","A robot at a museum","A robot with spiderman torso at a museum","assets/source_7e6e7b988446.png","assets/item_3b8bae8e4f21.jpg","2","1","2","2",""
"item_6ea6083308e7","head","cheetah","A panda at a school","A panda with cheetah head at a school","assets/source_3506d9604bf8.png","assets/item_6ea6083308e7.jpg","0","1","1","2",""
"item_d48d32f0aa17","hair","Afro","A Portrait of boy at a beach","A Portrait of boy with Afro hair at a beach","assets/source_0038f682b22a.png","assets/item_d48d32f0aa17.jpg","2","2","2","2",""
"item_7adaea0a3c5e","torso","armor","A boy at a restaurant","A boy with armor torso at a restaurant","assets/source_cea0cb0755a1.png","assets/item_7adaea0a3c5e.jpg","2","2","2","2",""
"item_86d16e9dc5bc","head","robot","A alien at a school","A alien with robot head at a school","assets/source_26285f2b90f2.png","assets/item_86d16e9dc5bc.jpg","0","1","2","2",""
"item_e7eadf116431","seat","wooden","A closeup leather chair at a classroom","A closeup leather chair with wooden seat at a classroom","assets/source_bda38536db22.png","assets/item_e7eadf116431.jpg","0","2","1","2",""
"item_01acf13af8db","head","robot","A alien at a city","A alien with robot head at a city","assets/source_6094cd95fb45.png","assets/item_01acf13af8db.jpg","2","0","2","2",""
"item_e2f67d08e187","torso","uniform","A alien at a school","A alien with uniform torso at a school","assets/source_4ad3086c4953.png","assets/item_e2f67d08e187.jpg","2","2","2","2",""
"item_58186875182d","hair","Curls","A Portrait of woman at a school","A Portrait of woman with Curls hair at a school","assets/source_8a5f145d5ed6.png","assets/item_58186875182d.jpg","2","2","2","2",""
"item_95ae7decd7d4","head","dragon","A dog at a farm","A dog with dragon head at a farm","assets/source_2a043df583fd.png","assets/item_95ae7decd7d4.jpg","0","2","2","2",""
"item_e1c2be190450","head","bear","A alien at a museum","A alien with bear head at a museum","assets/source_30f9afb55b24.png","assets/item_e1c2be190450.jpg","0","2","1","2",""
"item_40afd6ac9884","head","bear","A alien at a museum","A alien with bear head at a museum","assets/source_30f9afb55b24.png","assets/item_40afd6ac9884.jpg","0","2","1","2",""
"item_9c7a1b69372c","head","dragon","A cow at a restaurant","A cow with dragon head at a restaurant","assets/source_591f63abb2fa.png","assets/item_9c7a1b69372c.jpg","0","2","1","2",""
"item_f0248610fde7","seat","wooden","A closeup leather chair at a classroom","A closeup leather chair with wooden seat at a classroom","assets/source_bda38536db22.png","assets/item_f0248610fde7.jpg","0","2","2","2",""
"item_d7857bbe84c8","torso","formal-suit","A robot at a restaurant","A robot with formal-suit torso at a restaurant","assets/source_2e6979609916.png","assets/item_d7857bbe84c8.jpg","2","0","2","2",""
"item_cad60885a538","hair","Kinky","A Portrait of boy at a park","A Portrait of boy with Kinky hair at a park","assets/source_0d500a8d6ca9.png","assets/item_cad60885a538.jpg","2","2","2","2",""
"item_11d4ae5e9722","head","lion","A bear at a zoo","A bear with lion head at a zoo","assets/source_b8ba5e41ea31.png","assets/item_11d4ae5e9722.jpg","1","2","1","2",""
"item_c3affddec3f1","head","unicorn","A cow at a house","A cow with unicorn head at a house","assets/source_70a3202c4158.png","assets/item_c3affddec3f1.jpg","0","2","2","2",""
"item_5fad2e86192e","hair","Kinky","A Portrait of boy at a park","A Portrait of boy with Kinky hair at a park","assets/source_0d500a8d6ca9.png","assets/item_5fad2e86192e.jpg","2","2","2","2",""
