review_uid,part,edit,source_prompt,target_prompt,source_image,candidate_image,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,short_note,reviewer_id,review_position,row_uid,case_uid,seed,method,part_size,footprint_change,frozen_review_position,joint_success,strict_joint_success
item_aed85983848d,torso,spiderman,A robot at a museum,A robot with spiderman torso at a museum,assets/source_63f2eb2cd129.png,assets/item_aed85983848d.jpg,0,1,1,1,,reviewer_1,3,endpoint_projection::synth_0011::seed_000,synth_0011,0,endpoint_projection,small,comparable,3,0,0
item_11b36a02da9a,head,robot,A man at a gym,A man with robot head at a gym,assets/source_9db278f7152f.png,assets/item_11b36a02da9a.jpg,2,2,2,2,,reviewer_1,4,residual_rk2::synth_0005::seed_000,synth_0005,0,residual_rk2,medium,comparable,4,1,1
item_9355924b61fd,head,panda,A cat at a mountain,A cat with panda head at a mountain,assets/source_dd35579b4d43.png,assets/item_9355924b61fd.jpg,1,2,0,1,,reviewer_1,5,residual_rk2::synth_0041::seed_000,synth_0041,0,residual_rk2,medium,expansion,5,1,0
item_524e84dd7a8d,hair,Botticelli-Curls,A Portrait of boy at a street,A Portrait of boy with Botticelli-Curls hair at a street,assets/source_1efd8f28c69b.png,assets/item_524e84dd7a8d.jpg,2,2,2,2,,reviewer_1,7,residual_rk2::synth_0025::seed_000,synth_0025,0,residual_rk2,medium,comparable,7,1,1
item_67c06ac0e63c,head,dragon,A cat at a desert,A cat with dragon head at a desert,assets/source_bb5f44e8a25b.png,assets/item_67c06ac0e63c.jpg,0,2,0,0,,reviewer_1,9,endpoint_projection::synth_0032::seed_000,synth_0032,0,endpoint_projection,small,expansion,9,0,0
item_507da06ef83a,car hood,Graffiti,A full front facing view of Toyota car at a parking lot,A full front facing view of Toyota car with Graffiti car hood at a parking lot,assets/source_d13dfe80a435.png,assets/item_507da06ef83a.jpg,2,1,2,2,,reviewer_1,10,endpoint_projection::synth_0055::seed_000,synth_0055,0,endpoint_projection,large,comparable,10,1,0
item_9a09c5e14ce5,hair,Curls,A Portrait of boy at a park,A Portrait of boy with Curls hair at a park,assets/source_b4d7f2d52a43.png,assets/item_9a09c5e14ce5.jpg,2,1,2,2,,reviewer_1,11,original_fys_tdm::synth_0020::seed_000,synth_0020,0,original_fys_tdm,large,comparable,11,1,0
item_f98538592013,head,dragon,A cow at a restaurant,A cow with dragon head at a restaurant,assets/source_591f63abb2fa.png,assets/item_f98538592013.jpg,0,0,1,1,,reviewer_1,12,endpoint_projection::synth_0028::seed_000,synth_0028,0,endpoint_projection,small,comparable,12,0,0
item_b045fc3a047b,head,bear,A alien at a museum,A alien with bear head at a museum,assets/source_30f9afb55b24.png,assets/item_b045fc3a047b.jpg,0,2,1,2,,reviewer_1,13,original_fys_tdm::synth_0009::seed_000,synth_0009,0,original_fys_tdm,large,comparable,13,0,0
item_651ab3e4d216,car hood,Graffiti,A full front facing view of Toyota car at a parking lot,A full front facing view of Toyota car with Graffiti car hood at a parking lot,assets/source_d13dfe80a435.png,assets/item_651ab3e4d216.jpg,2,2,2,2,,reviewer_1,15,residual_rk2::synth_0055::seed_000,synth_0055,0,residual_rk2,large,comparable,15,1,1
