"review_uid","part","edit","source_prompt","target_prompt","source_image","candidate_image","local_edit_success_0_2","non_target_preservation_0_2","overall_prompt_adherence_0_2","visual_quality_0_2","short_note"
"item_45dada8dba19","head","cheetah","A cat at a museum","A cat with cheetah head at a museum","assets/source_f3d1d79f0351.png","assets/item_45dada8dba19.jpg","0","2","0","2",""
"item_e1fa71bbcd96","car body","armored","A luxury-car at a mountain road","A luxury-car with armored car body at a mountain road","assets/source_4a1c085cfce4.png","assets/item_e1fa71bbcd96.jpg","0","2","0","2",""
"item_124e52dc52e1","head","bear","A alien at a museum","A alien with bear head at a museum","assets/source_30f9afb55b24.png","assets/item_124e52dc52e1.jpg","0","1","1","2",""
"item_6b84759daf6c","torso","batman","A robot at a school","A robot with batman torso at a school","assets/source_8bcbeeb53dd4.png","assets/item_6b84759daf6c.jpg","2","0","2","2",""
"item_597465409638","head","dog","A bear at a jungle","A bear with dog head at a jungle","assets/source_f71c7b525544.png","assets/item_597465409638.jpg","0","2","1","2",""
"item_2176877c6721","car hood","vinyl-art","A classic-car at a garage","A classic-car with vinyl-art car hood at a garage","assets/source_f3b27b9b2ef0.png","assets/item_2176877c6721.jpg","2","2","2","2",""
"item_30338ac34616","head","dragon","A horse at a zoo","A horse with dragon head at a zoo","assets/source_dbfa710ac399.png","assets/item_30338ac34616.jpg","0","2","2","2",""
"item_182b08c7f7de","head","bear","A robot at a park","A robot with bear head at a park","assets/source_64fe128aaf52.png","assets/item_182b08c7f7de.jpg","0","0","1","2",""
"item_69b4de75a8c5","head","robot","A man at a gym","A man with robot head at a gym","assets/source_9db278f7152f.png","assets/item_69b4de75a8c5.jpg","0","1","2","2",""
"item_c00791735bdb","head","robot","A alien at a city","A alien with robot head at a city","assets/source_6094cd95fb45.png","assets/item_c00791735bdb.jpg","1","1","2","2",""
"item_b497a65068c7","hair","Curls","A Portrait of boy at a park","A Portrait of boy with Curls hair at a park","assets/source_b4d7f2d52a43.png","assets/item_b497a65068c7.jpg","2","2","2","2",""
"item_2bacc19567e0","head","robot","A girl at a beach","A girl with robot head at a beach","assets/source_eddd21d6a1c2.png","assets/item_2bacc19567e0.jpg","0","0","1","2",""
"item_abe9d361e756","hair","Curls","A Portrait of man at a house","A Portrait of man with Curls hair at a house","assets/source_1837be64cd68.png","assets/item_abe9d361e756.jpg","0","2","1","2",""
"item_85e416e01a2f","head","dragon","A cat at a desert","A cat with dragon head at a desert","assets/source_bb5f44e8a25b.png","assets/item_85e416e01a2f.jpg","0","2","1","2",""
"item_4a51b98410a4","head","dragon","A horse at a jungle","A horse with dragon head at a jungle","assets/source_2b822a970173.png","assets/item_4a51b98410a4.jpg","0","1","1","2",""
"item_d2c144690d63","head","robot","A alien at a museum","A alien with robot head at a museum","assets/source_0776f3ccf0e9.png","assets/item_d2c144690d63.jpg","2","0","1","2",""
"item_eb60950c3170","torso","spiderman","A robot at a museum","A robot with spiderman torso at a museum","assets/source_63f2eb2cd129.png","assets/item_eb60950c3170.jpg","2","2","2","2",""
"item_5c2abecf0812","seat","fabric","A closeup leather chair at a apartment","A closeup leather chair with fabric seat at a apartment","assets/source_278976611c82.png","assets/item_5c2abecf0812.jpg","0","2","1","2",""
"item_cfa3f23825c9","torso","armor","A girl at a stadium","A girl with armor torso at a stadium","assets/source_05f0e921e87d.png","assets/item_cfa3f23825c9.jpg","2","2","2","2",""
"item_02138830745c","hair","Curls","A Portrait of man at a house","A Portrait of man with Curls hair at a house","assets/source_1837be64cd68.png","assets/item_02138830745c.jpg","1","1","1","2",""
"item_94e6733b2ca5","head","dragon","A cow at a restaurant","A cow with dragon head at a restaurant","assets/source_591f63abb2fa.png","assets/item_94e6733b2ca5.jpg","0","1","1","2",""
"item_b555155249e5","torso","spiderman","A robot at a museum","A robot with spiderman torso at a museum","assets/source_7e6e7b988446.png","assets/item_b555155249e5.jpg","1","0","1","2",""
"item_bdfa59edb03b","torso","spiderman","A robot at a museum","A robot with spiderman torso at a museum","assets/source_7e6e7b988446.png","assets/item_bdfa59edb03b.jpg","2","1","2","2",""
"item_99a3e9883be5","head","robot","A man at a gym","A man with robot head at a gym","assets/source_9db278f7152f.png","assets/item_99a3e9883be5.jpg","2","1","2","2",""
"item_c386ebc89920","car hood","Graffiti","A full front facing view of Toyota car at a parking lot","A full front facing view of Toyota car with Graffiti car hood at a parking lot","assets/source_d13dfe80a435.png","assets/item_c386ebc89920.jpg","2","2","2","2",""
"item_4c7e3a6e6a9f","head","cheetah","A cat at a museum","A cat with cheetah head at a museum","assets/source_f3d1d79f0351.png","assets/item_4c7e3a6e6a9f.jpg","0","2","0","2",""
"item_5213931b4068","seat","wooden","A closeup leather chair at a classroom","A closeup leather chair with wooden seat at a classroom","assets/source_bda38536db22.png","assets/item_5213931b4068.jpg","0","2","1","2",""
"item_174887985d9c","hair","Curls","A Portrait of woman at a school","A Portrait of woman with Curls hair at a school","assets/source_8a5f145d5ed6.png","assets/item_174887985d9c.jpg","2","1","2","2",""
"item_ed24085c3c8e","head","robot","A girl at a beach","A girl with robot head at a beach","assets/source_eddd21d6a1c2.png","assets/item_ed24085c3c8e.jpg","0","2","1","2",""
"item_ff1b7a12d33d","head","dragon","A dog at a farm","A dog with dragon head at a farm","assets/source_2a043df583fd.png","assets/item_ff1b7a12d33d.jpg","0","2","1","2",""
"item_bdafcb92483d","head","cat","A dog at a restaurant","A dog with cat head at a restaurant","assets/source_ca463355e687.png","assets/item_bdafcb92483d.jpg","0","0","1","2",""
"item_2291015d44b7","head","dog","A bear at a jungle","A bear with dog head at a jungle","assets/source_f71c7b525544.png","assets/item_2291015d44b7.jpg","0","2","1","2",""
"item_bbf9c8243464","head","dragon","A horse at a zoo","A horse with dragon head at a zoo","assets/source_dbfa710ac399.png","assets/item_bbf9c8243464.jpg","0","1","1","2",""
"item_d9596d60871b","head","bear","A robot at a park","A robot with bear head at a park","assets/source_64fe128aaf52.png","assets/item_d9596d60871b.jpg","0","0","0","1",""
"item_39b1816beb15","head","unicorn","A dog at a mountain","A dog with unicorn head at a mountain","assets/source_ee57f3a3ed86.png","assets/item_39b1816beb15.jpg","0","2","1","2",""
"item_4255a7d199b8","torso","batman","A robot at a school","A robot with batman torso at a school","assets/source_8bcbeeb53dd4.png","assets/item_4255a7d199b8.jpg","2","1","2","2",""
"item_825fb4159398","head","dragon","A horse at a jungle","A horse with dragon head at a jungle","assets/source_2b822a970173.png","assets/item_825fb4159398.jpg","0","2","1","2",""
"item_7278b95ac83c","head","dragon","A horse at a jungle","A horse with dragon head at a jungle","assets/source_2b822a970173.png","assets/item_7278b95ac83c.jpg","0","2","1","2",""
"item_e0396ee401e3","torso","spiderman","A robot at a museum","A robot with spiderman torso at a museum","assets/source_7e6e7b988446.png","assets/item_e0396ee401e3.jpg","2","0","2","2",""
"item_56907b42b591","car hood","Digital-Camouflage","A full front facing view of racing car at a parking lot","A full front facing view of racing car with Digital-Camouflage car hood at a parking lot","assets/source_073b896945b5.png","assets/item_56907b42b591.jpg","2","1","1","2",""
"item_ec5b73a81c14","car body","futuristic","A sedan at a parking lot","A sedan with futuristic car body at a parking lot","assets/source_ef3648f18171.png","assets/item_ec5b73a81c14.jpg","2","0","1","2",""
