run_uid,case_uid,seed,dataset_split,dataset_index,part_size,part,edit,source_prompt,target_prompt,source_image,gt_mask,output_dir,log_path,config_path,attention_proxy_raw,attention_proxy_smoothed,attention_proxy_binary,model_name,guidance,num_steps,layers,front,inject,tail_pad,offload,repro_command
real_0006_seed_000,real_0006,0,real,6,small,head,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,core/data/partedit_subset/cases/real_0006/source.png,core/data/partedit_subset/cases/real_0006/gt_mask.png,core/results/flux_attention_baseline/real_0006/seed_000,core/results/flux_attention_baseline/real_0006/seed_000/run.log,core/results/flux_attention_baseline/real_0006/seed_000/run_config.json,core/results/flux_attention_baseline/real_0006/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0006/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0006/seed_000/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0006/seed_000/case_record.json --output-dir core/results/flux_attention_baseline/real_0006/seed_000 --seed 0 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0006_seed_001,real_0006,1,real,6,small,head,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,core/data/partedit_subset/cases/real_0006/source.png,core/data/partedit_subset/cases/real_0006/gt_mask.png,core/results/flux_attention_baseline/real_0006/seed_001,core/results/flux_attention_baseline/real_0006/seed_001/run.log,core/results/flux_attention_baseline/real_0006/seed_001/run_config.json,core/results/flux_attention_baseline/real_0006/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0006/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0006/seed_001/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0006/seed_001/case_record.json --output-dir core/results/flux_attention_baseline/real_0006/seed_001 --seed 1 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0006_seed_002,real_0006,2,real,6,small,head,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,core/data/partedit_subset/cases/real_0006/source.png,core/data/partedit_subset/cases/real_0006/gt_mask.png,core/results/flux_attention_baseline/real_0006/seed_002,core/results/flux_attention_baseline/real_0006/seed_002/run.log,core/results/flux_attention_baseline/real_0006/seed_002/run_config.json,core/results/flux_attention_baseline/real_0006/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0006/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0006/seed_002/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0006/seed_002/case_record.json --output-dir core/results/flux_attention_baseline/real_0006/seed_002 --seed 2 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0008_seed_000,real_0008,0,real,8,small,head,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,core/data/partedit_subset/cases/real_0008/source.png,core/data/partedit_subset/cases/real_0008/gt_mask.png,core/results/flux_attention_baseline/real_0008/seed_000,core/results/flux_attention_baseline/real_0008/seed_000/run.log,core/results/flux_attention_baseline/real_0008/seed_000/run_config.json,core/results/flux_attention_baseline/real_0008/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0008/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0008/seed_000/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0008/seed_000/case_record.json --output-dir core/results/flux_attention_baseline/real_0008/seed_000 --seed 0 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0008_seed_001,real_0008,1,real,8,small,head,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,core/data/partedit_subset/cases/real_0008/source.png,core/data/partedit_subset/cases/real_0008/gt_mask.png,core/results/flux_attention_baseline/real_0008/seed_001,core/results/flux_attention_baseline/real_0008/seed_001/run.log,core/results/flux_attention_baseline/real_0008/seed_001/run_config.json,core/results/flux_attention_baseline/real_0008/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0008/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0008/seed_001/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0008/seed_001/case_record.json --output-dir core/results/flux_attention_baseline/real_0008/seed_001 --seed 1 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0008_seed_002,real_0008,2,real,8,small,head,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,core/data/partedit_subset/cases/real_0008/source.png,core/data/partedit_subset/cases/real_0008/gt_mask.png,core/results/flux_attention_baseline/real_0008/seed_002,core/results/flux_attention_baseline/real_0008/seed_002/run.log,core/results/flux_attention_baseline/real_0008/seed_002/run_config.json,core/results/flux_attention_baseline/real_0008/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0008/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0008/seed_002/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0008/seed_002/case_record.json --output-dir core/results/flux_attention_baseline/real_0008/seed_002 --seed 2 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0003_seed_000,real_0003,0,real,3,small,head,cheetah,a horse running in a field,a horse with cheetah head running in a field,core/data/partedit_subset/cases/real_0003/source.png,core/data/partedit_subset/cases/real_0003/gt_mask.png,core/results/flux_attention_baseline/real_0003/seed_000,core/results/flux_attention_baseline/real_0003/seed_000/run.log,core/results/flux_attention_baseline/real_0003/seed_000/run_config.json,core/results/flux_attention_baseline/real_0003/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0003/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0003/seed_000/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0003/seed_000/case_record.json --output-dir core/results/flux_attention_baseline/real_0003/seed_000 --seed 0 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0003_seed_001,real_0003,1,real,3,small,head,cheetah,a horse running in a field,a horse with cheetah head running in a field,core/data/partedit_subset/cases/real_0003/source.png,core/data/partedit_subset/cases/real_0003/gt_mask.png,core/results/flux_attention_baseline/real_0003/seed_001,core/results/flux_attention_baseline/real_0003/seed_001/run.log,core/results/flux_attention_baseline/real_0003/seed_001/run_config.json,core/results/flux_attention_baseline/real_0003/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0003/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0003/seed_001/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0003/seed_001/case_record.json --output-dir core/results/flux_attention_baseline/real_0003/seed_001 --seed 1 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0003_seed_002,real_0003,2,real,3,small,head,cheetah,a horse running in a field,a horse with cheetah head running in a field,core/data/partedit_subset/cases/real_0003/source.png,core/data/partedit_subset/cases/real_0003/gt_mask.png,core/results/flux_attention_baseline/real_0003/seed_002,core/results/flux_attention_baseline/real_0003/seed_002/run.log,core/results/flux_attention_baseline/real_0003/seed_002/run_config.json,core/results/flux_attention_baseline/real_0003/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0003/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0003/seed_002/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0003/seed_002/case_record.json --output-dir core/results/flux_attention_baseline/real_0003/seed_002 --seed 2 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
real_0002_seed_000,real_0002,0,real,2,small,seat,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,core/data/partedit_subset/cases/real_0002/source.png,core/data/partedit_subset/cases/real_0002/gt_mask.png,core/results/flux_attention_baseline/real_0002/seed_000,core/results/flux_attention_baseline/real_0002/seed_000/run.log,core/results/flux_attention_baseline/real_0002/seed_000/run_config.json,core/results/flux_attention_baseline/real_0002/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0002/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0002/seed_000/attention_proxy_binary.npy,flux-dev,2.0,15,"28,29,30,31,32,33,34,35,36,37",2,4,1,True,"python core/scripts/flux_attention_worker.py --case-json core/results/flux_attention_baseline/real_0002/seed_000/case_record.json --output-dir core/results/flux_attention_baseline/real_0002/seed_000 --seed 0 --name flux-dev --guidance 2.0 --num-steps 15 --layers 28,29,30,31,32,33,34,35,36,37 --front 2 --inject 4 --tail-pad 1 --offload"
