case_uid,duration,seed,guidance,num_steps,plan_path,plan_sha256,output_dir,source_prompt,target_prompt,mask_source,image_kv,it_gate
synth_0028,0,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_00.json,7a505b321d69ae42ddd0acf4204ac5dd1cc3e77fa7c286386b84fc4cf6e78904,core/results/gt_prefix_diagnostic_v1/duration_00/synth_0028/seed_000,A cow at a restaurant,A cow with dragon head at a restaurant,oracle,none,none
synth_0032,0,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_00.json,7a505b321d69ae42ddd0acf4204ac5dd1cc3e77fa7c286386b84fc4cf6e78904,core/results/gt_prefix_diagnostic_v1/duration_00/synth_0032/seed_000,A cat at a desert,A cat with dragon head at a desert,oracle,none,none
synth_0033,0,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_00.json,7a505b321d69ae42ddd0acf4204ac5dd1cc3e77fa7c286386b84fc4cf6e78904,core/results/gt_prefix_diagnostic_v1/duration_00/synth_0033/seed_000,A dog at a restaurant,A dog with cat head at a restaurant,oracle,none,none
synth_0038,0,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_00.json,7a505b321d69ae42ddd0acf4204ac5dd1cc3e77fa7c286386b84fc4cf6e78904,core/results/gt_prefix_diagnostic_v1/duration_00/synth_0038/seed_000,A horse at a zoo,A horse with dragon head at a zoo,oracle,none,none
synth_0043,0,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_00.json,7a505b321d69ae42ddd0acf4204ac5dd1cc3e77fa7c286386b84fc4cf6e78904,core/results/gt_prefix_diagnostic_v1/duration_00/synth_0043/seed_000,A bear at a jungle,A bear with dragon head at a jungle,oracle,none,none
synth_0036,0,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_00.json,7a505b321d69ae42ddd0acf4204ac5dd1cc3e77fa7c286386b84fc4cf6e78904,core/results/gt_prefix_diagnostic_v1/duration_00/synth_0036/seed_000,A bear at a zoo,A bear with lion head at a zoo,oracle,none,none
synth_0028,1,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_01.json,87d1f31933c67ec4d81185f7c7f61d1577262dda93a117b3941277363065bb84,core/results/gt_prefix_diagnostic_v1/duration_01/synth_0028/seed_000,A cow at a restaurant,A cow with dragon head at a restaurant,oracle,none,none
synth_0032,1,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_01.json,87d1f31933c67ec4d81185f7c7f61d1577262dda93a117b3941277363065bb84,core/results/gt_prefix_diagnostic_v1/duration_01/synth_0032/seed_000,A cat at a desert,A cat with dragon head at a desert,oracle,none,none
synth_0033,1,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_01.json,87d1f31933c67ec4d81185f7c7f61d1577262dda93a117b3941277363065bb84,core/results/gt_prefix_diagnostic_v1/duration_01/synth_0033/seed_000,A dog at a restaurant,A dog with cat head at a restaurant,oracle,none,none
synth_0038,1,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_01.json,87d1f31933c67ec4d81185f7c7f61d1577262dda93a117b3941277363065bb84,core/results/gt_prefix_diagnostic_v1/duration_01/synth_0038/seed_000,A horse at a zoo,A horse with dragon head at a zoo,oracle,none,none
synth_0043,1,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_01.json,87d1f31933c67ec4d81185f7c7f61d1577262dda93a117b3941277363065bb84,core/results/gt_prefix_diagnostic_v1/duration_01/synth_0043/seed_000,A bear at a jungle,A bear with dragon head at a jungle,oracle,none,none
synth_0036,1,0,2.0,15,core/protocols/gt_prefix_diagnostic_v1/plans/duration_01.json,87d1f31933c67ec4d81185f7c7f61d1577262dda93a117b3941277363065bb84,core/results/gt_prefix_diagnostic_v1/duration_01/synth_0036/seed_000,A bear at a zoo,A bear with lion head at a zoo,oracle,none,none
