case_uid,dataset_id,dataset_split,dataset_index,id,class_name,subject,part,normalized_part,part_size,mask_area_ratio,edit,source_prompt,target_prompt,reference_target_prompt,source_image,gt_mask,partedit_reference,follow_your_shape_output_dir,follow_your_shape_vis_path,follow_your_shape_command,oracle_mask_arg
real_0006,Aleksandar/PartEdit-Bench,real,6,6,animal_head,man,head,head,small,0.0071868896484375,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,a alien standing in a park wearing a green shirt,core/data/partedit_subset/cases/real_0006/source.png,core/data/partedit_subset/cases/real_0006/gt_mask.png,core/data/partedit_subset/cases/real_0006/partedit_reference.png,core/results/follow_your_shape/real_0006,core/results/follow_your_shape/real_0006/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0006/source.png --source_prompt 'a man standing in a park wearing a green shirt' --target_prompt 'a man with alien head standing in a park wearing a green shirt' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0006 --vis_path ../../../results/follow_your_shape/real_0006/tdm,--mask_path ../../../data/partedit_subset/cases/real_0006/gt_mask.png
real_0008,Aleksandar/PartEdit-Bench,real,8,8,animal_head,dog,head,head,small,0.024127960205078125,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,a bear standing in a field with grass and water,core/data/partedit_subset/cases/real_0008/source.png,core/data/partedit_subset/cases/real_0008/gt_mask.png,core/data/partedit_subset/cases/real_0008/partedit_reference.png,core/results/follow_your_shape/real_0008,core/results/follow_your_shape/real_0008/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0008/source.png --source_prompt 'a dog standing in a field with grass and water' --target_prompt 'a dog with bear head standing in a field with grass and water' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0008 --vis_path ../../../results/follow_your_shape/real_0008/tdm,--mask_path ../../../data/partedit_subset/cases/real_0008/gt_mask.png
real_0003,Aleksandar/PartEdit-Bench,real,3,3,animal_head,horse,head,head,small,0.02970123291015625,cheetah,a horse running in a field,a horse with cheetah head running in a field,a cheetah running in a field,core/data/partedit_subset/cases/real_0003/source.png,core/data/partedit_subset/cases/real_0003/gt_mask.png,core/data/partedit_subset/cases/real_0003/partedit_reference.png,core/results/follow_your_shape/real_0003,core/results/follow_your_shape/real_0003/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0003/source.png --source_prompt 'a horse running in a field' --target_prompt 'a horse with cheetah head running in a field' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0003 --vis_path ../../../results/follow_your_shape/real_0003/tdm,--mask_path ../../../data/partedit_subset/cases/real_0003/gt_mask.png
real_0002,Aleksandar/PartEdit-Bench,real,2,2,chair,chair,seat,seat,small,0.029911041259765625,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,a mesh and table in front of a glass door,core/data/partedit_subset/cases/real_0002/source.png,core/data/partedit_subset/cases/real_0002/gt_mask.png,core/data/partedit_subset/cases/real_0002/partedit_reference.png,core/results/follow_your_shape/real_0002,core/results/follow_your_shape/real_0002/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0002/source.png --source_prompt 'a chair and table in front of a glass door' --target_prompt 'a chair with mesh seat and table in front of a glass door' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0002 --vis_path ../../../results/follow_your_shape/real_0002/tdm,--mask_path ../../../data/partedit_subset/cases/real_0002/gt_mask.png
real_0010,Aleksandar/PartEdit-Bench,real,10,10,animal_head,cow,head,head,medium,0.0478515625,dragon,a cow standing on a street,a cow with dragon head standing on a street,a dragon standing on a street,core/data/partedit_subset/cases/real_0010/source.png,core/data/partedit_subset/cases/real_0010/gt_mask.png,core/data/partedit_subset/cases/real_0010/partedit_reference.png,core/results/follow_your_shape/real_0010,core/results/follow_your_shape/real_0010/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0010/source.png --source_prompt 'a cow standing on a street' --target_prompt 'a cow with dragon head standing on a street' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0010 --vis_path ../../../results/follow_your_shape/real_0010/tdm,--mask_path ../../../data/partedit_subset/cases/real_0010/gt_mask.png
real_0004,Aleksandar/PartEdit-Bench,real,4,4,carhood,toyota,carhood,car hood,medium,0.053619384765625,rusted,a white toyota avanza parked in front of a house,a white toyota with rusted carhood avanza parked in front of a house,a white rusted avanza parked in front of a house,core/data/partedit_subset/cases/real_0004/source.png,core/data/partedit_subset/cases/real_0004/gt_mask.png,core/data/partedit_subset/cases/real_0004/partedit_reference.png,core/results/follow_your_shape/real_0004,core/results/follow_your_shape/real_0004/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0004/source.png --source_prompt 'a white toyota avanza parked in front of a house' --target_prompt 'a white toyota with rusted carhood avanza parked in front of a house' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0004 --vis_path ../../../results/follow_your_shape/real_0004/tdm,--mask_path ../../../data/partedit_subset/cases/real_0004/gt_mask.png
real_0007,Aleksandar/PartEdit-Bench,real,7,7,chair,armchair,seat,seat,medium,0.0550079345703125,leather,a mahogany armchair,a mahogany armchair with leather seat,a mahogany leather,core/data/partedit_subset/cases/real_0007/source.png,core/data/partedit_subset/cases/real_0007/gt_mask.png,core/data/partedit_subset/cases/real_0007/partedit_reference.png,core/results/follow_your_shape/real_0007,core/results/follow_your_shape/real_0007/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0007/source.png --source_prompt 'a mahogany armchair' --target_prompt 'a mahogany armchair with leather seat' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0007 --vis_path ../../../results/follow_your_shape/real_0007/tdm,--mask_path ../../../data/partedit_subset/cases/real_0007/gt_mask.png
real_0001,Aleksandar/PartEdit-Bench,real,1,1,animal_head,dog,head,head,medium,0.056949615478515625,cat,a dog running in the grass,a dog with cat head running in the grass,a cat running in the grass,core/data/partedit_subset/cases/real_0001/source.png,core/data/partedit_subset/cases/real_0001/gt_mask.png,core/data/partedit_subset/cases/real_0001/partedit_reference.png,core/results/follow_your_shape/real_0001,core/results/follow_your_shape/real_0001/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0001/source.png --source_prompt 'a dog running in the grass' --target_prompt 'a dog with cat head running in the grass' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0001 --vis_path ../../../results/follow_your_shape/real_0001/tdm,--mask_path ../../../data/partedit_subset/cases/real_0001/gt_mask.png
real_0000,Aleksandar/PartEdit-Bench,real,0,0,humanoid_torso,robot,torso,torso,large,0.09088516235351562,armored,a robot standing in a warehouse with boxes,a robot with armored torso standing in a warehouse with boxes,a armored standing in a warehouse with boxes,core/data/partedit_subset/cases/real_0000/source.png,core/data/partedit_subset/cases/real_0000/gt_mask.png,core/data/partedit_subset/cases/real_0000/partedit_reference.png,core/results/follow_your_shape/real_0000,core/results/follow_your_shape/real_0000/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0000/source.png --source_prompt 'a robot standing in a warehouse with boxes' --target_prompt 'a robot with armored torso standing in a warehouse with boxes' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0000 --vis_path ../../../results/follow_your_shape/real_0000/tdm,--mask_path ../../../data/partedit_subset/cases/real_0000/gt_mask.png
real_0011,Aleksandar/PartEdit-Bench,real,11,11,human_hair,man,hair,hair,large,0.0968170166015625,curly_hair,a man with a smile on his face,a man with curly_hair hair with a smile on his face,a curly_hair with a smile on his face,core/data/partedit_subset/cases/real_0011/source.png,core/data/partedit_subset/cases/real_0011/gt_mask.png,core/data/partedit_subset/cases/real_0011/partedit_reference.png,core/results/follow_your_shape/real_0011,core/results/follow_your_shape/real_0011/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0011/source.png --source_prompt 'a man with a smile on his face' --target_prompt 'a man with curly_hair hair with a smile on his face' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0011 --vis_path ../../../results/follow_your_shape/real_0011/tdm,--mask_path ../../../data/partedit_subset/cases/real_0011/gt_mask.png
