case_uid,dataset_split,dataset_index,part_size,class_name,subject,part,edit,source_prompt,target_prompt,source_path,gt_mask_path,edited_result_path,run_log_path,binary_tdm_path,soft_tdm_path,smoothed_tdm_path,delta_stack_path,metadata_path,delta_dir,has_source,has_gt_mask,has_edit_result,has_run_log,has_binary_tdm,has_soft_tdm,has_smoothed_tdm,has_delta_stack,has_metadata,num_delta_maps,image_width,image_height,raw_tdm_shape,recorded_delta_steps
real_0006,real,6,small,animal_head,man,head,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0006/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0006/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
real_0008,real,8,small,animal_head,dog,head,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0008/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0008/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
real_0003,real,3,small,animal_head,horse,head,cheetah,a horse running in a field,a horse with cheetah head running in a field,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0003/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0003/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
real_0002,real,2,small,chair,chair,seat,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0002/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0002/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
synth_0026,synth,26,small,humanoid_hair,man,hair,Curls,A Portrait of man at a house,A Portrait of man with Curls hair at a house,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0026/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0026/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/delta,True,True,True,True,True,True,True,True,True,15,1024,1024,64x64,"2,3,4,5,6,7,8"
synth_0050,synth,50,small,carhood,racing-car,car hood,black,A racing-car at a highway,A racing-car with black car hood at a highway,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0050/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0050/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/delta,True,True,True,True,True,True,True,True,True,15,1024,1024,64x64,"2,3,4,5,6,7,8"
synth_0040,synth,40,small,animal_head,bear,head,tiger,A bear at a pool,A bear with tiger head at a pool,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0040/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0040/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/delta,True,True,True,True,True,True,True,True,True,15,1024,1024,64x64,"2,3,4,5,6,7,8"
real_0010,real,10,medium,animal_head,cow,head,dragon,a cow standing on a street,a cow with dragon head standing on a street,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0010/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0010/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
real_0004,real,4,medium,carhood,toyota,carhood,rusted,a white toyota avanza parked in front of a house,a white toyota with rusted carhood avanza parked in front of a house,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0004/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0004/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
real_0007,real,7,medium,chair,armchair,seat,leather,a mahogany armchair,a mahogany armchair with leather seat,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0007/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0007/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8"
