review_uid,part,edit,source_prompt,target_prompt,source_image,candidate_image,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,short_note,reviewer_id,review_position,row_uid,case_uid,seed,method,part_size,footprint_change,frozen_review_position,joint_success,strict_joint_success
item_45dada8dba19,head,cheetah,A cat at a museum,A cat with cheetah head at a museum,assets/source_f3d1d79f0351.png,assets/item_45dada8dba19.jpg,0,2,0,2,,reviewer_1,1,gt-diagnostic-v2::rk2_n15_gt::synth_0035::seed_000,synth_0035,0,rk2_n15_gt,small,expansion,1,0,0
item_e1fa71bbcd96,car body,armored,A luxury-car at a mountain road,A luxury-car with armored car body at a mountain road,assets/source_4a1c085cfce4.png,assets/item_e1fa71bbcd96.jpg,0,2,0,2,,reviewer_1,2,gt-diagnostic-v2::rk2_n15_gt::synth_0046::seed_000,synth_0046,0,rk2_n15_gt,large,comparable,2,0,0
item_124e52dc52e1,head,bear,A alien at a museum,A alien with bear head at a museum,assets/source_30f9afb55b24.png,assets/item_124e52dc52e1.jpg,0,1,1,2,,reviewer_1,3,gt-diagnostic-v2::rk2_gt::synth_0009::seed_000,synth_0009,0,rk2_gt,large,comparable,3,0,0
item_6b84759daf6c,torso,batman,A robot at a school,A robot with batman torso at a school,assets/source_8bcbeeb53dd4.png,assets/item_6b84759daf6c.jpg,2,0,2,2,,reviewer_1,4,gt-diagnostic-v2::rk2_n15_auto::synth_0010::seed_000,synth_0010,0,rk2_n15_auto,medium,comparable,4,0,0
item_597465409638,head,dog,A bear at a jungle,A bear with dog head at a jungle,assets/source_f71c7b525544.png,assets/item_597465409638.jpg,0,2,1,2,,reviewer_1,5,gt-diagnostic-v2::rk2_n15_gt::synth_0030::seed_000,synth_0030,0,rk2_n15_gt,small,contraction,5,0,0
item_2176877c6721,car hood,vinyl-art,A classic-car at a garage,A classic-car with vinyl-art car hood at a garage,assets/source_f3b27b9b2ef0.png,assets/item_2176877c6721.jpg,2,2,2,2,,reviewer_1,6,gt-diagnostic-v2::rk2_n15_gt::synth_0051::seed_000,synth_0051,0,rk2_n15_gt,small,comparable,6,1,1
item_30338ac34616,head,dragon,A horse at a zoo,A horse with dragon head at a zoo,assets/source_dbfa710ac399.png,assets/item_30338ac34616.jpg,0,2,2,2,,reviewer_1,7,gt-diagnostic-v2::rk2_gt::synth_0038::seed_000,synth_0038,0,rk2_gt,large,expansion,7,0,0
item_182b08c7f7de,head,bear,A robot at a park,A robot with bear head at a park,assets/source_64fe128aaf52.png,assets/item_182b08c7f7de.jpg,0,0,1,2,,reviewer_1,8,gt-diagnostic-v2::rk2_auto::synth_0002::seed_000,synth_0002,0,rk2_auto,large,comparable,8,0,0
item_69b4de75a8c5,head,robot,A man at a gym,A man with robot head at a gym,assets/source_9db278f7152f.png,assets/item_69b4de75a8c5.jpg,0,1,2,2,,reviewer_1,9,gt-diagnostic-v2::rk2_gt::synth_0005::seed_000,synth_0005,0,rk2_gt,medium,comparable,9,0,0
item_c00791735bdb,head,robot,A alien at a city,A alien with robot head at a city,assets/source_6094cd95fb45.png,assets/item_c00791735bdb.jpg,1,1,2,2,,reviewer_1,10,gt-diagnostic-v2::rk2_gt::synth_0000::seed_000,synth_0000,0,rk2_gt,small,comparable,10,1,0
item_b497a65068c7,hair,Curls,A Portrait of boy at a park,A Portrait of boy with Curls hair at a park,assets/source_b4d7f2d52a43.png,assets/item_b497a65068c7.jpg,2,2,2,2,,reviewer_1,11,gt-diagnostic-v2::endpoint_auto::synth_0020::seed_000,synth_0020,0,endpoint_auto,large,comparable,11,1,1
item_2bacc19567e0,head,robot,A girl at a beach,A girl with robot head at a beach,assets/source_eddd21d6a1c2.png,assets/item_2bacc19567e0.jpg,0,0,1,2,,reviewer_1,12,gt-diagnostic-v2::rk2_gt::synth_0006::seed_000,synth_0006,0,rk2_gt,small,comparable,12,0,0
item_abe9d361e756,hair,Curls,A Portrait of man at a house,A Portrait of man with Curls hair at a house,assets/source_1837be64cd68.png,assets/item_abe9d361e756.jpg,0,2,1,2,,reviewer_1,13,gt-diagnostic-v2::rk2_n15_gt::synth_0026::seed_000,synth_0026,0,rk2_n15_gt,small,expansion,13,0,0
item_85e416e01a2f,head,dragon,A cat at a desert,A cat with dragon head at a desert,assets/source_bb5f44e8a25b.png,assets/item_85e416e01a2f.jpg,0,2,1,2,,reviewer_1,14,gt-diagnostic-v2::rk2_gt::synth_0032::seed_000,synth_0032,0,rk2_gt,small,expansion,14,0,0
item_4a51b98410a4,head,dragon,A horse at a jungle,A horse with dragon head at a jungle,assets/source_2b822a970173.png,assets/item_4a51b98410a4.jpg,0,1,1,2,,reviewer_1,15,gt-diagnostic-v2::rk2_auto::synth_0031::seed_000,synth_0031,0,rk2_auto,medium,expansion,15,0,0
item_d2c144690d63,head,robot,A alien at a museum,A alien with robot head at a museum,assets/source_0776f3ccf0e9.png,assets/item_d2c144690d63.jpg,2,0,1,2,,reviewer_1,16,gt-diagnostic-v2::endpoint_auto::synth_0003::seed_000,synth_0003,0,endpoint_auto,large,comparable,16,0,0
item_eb60950c3170,torso,spiderman,A robot at a museum,A robot with spiderman torso at a museum,assets/source_63f2eb2cd129.png,assets/item_eb60950c3170.jpg,2,2,2,2,,reviewer_1,17,gt-diagnostic-v2::rk2_n15_auto::synth_0011::seed_000,synth_0011,0,rk2_n15_auto,small,comparable,17,1,1
item_5c2abecf0812,seat,fabric,A closeup leather chair at a apartment,A closeup leather chair with fabric seat at a apartment,assets/source_278976611c82.png,assets/item_5c2abecf0812.jpg,0,2,1,2,,reviewer_1,18,gt-diagnostic-v2::rk2_n15_auto::synth_0056::seed_000,synth_0056,0,rk2_n15_auto,medium,comparable,18,0,0
