run_uid,case_uid,seed,part_size,part,edit,source_prompt,target_prompt,source_image,gt_mask,fys_image,binary_tdm_path,smoothed_tdm_path,binary_iou,soft_ap,pred_to_gt_area_ratio,outside_mask_psnr,outside_mask_global_ssim,outside_mask_lpips,local_edit_success_0_2,outside_preservation_0_2,failure_category,notes
real_0006_seed_000,real_0006,0,small,head,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,core/data/partedit_subset/cases/real_0006/source.png,core/data/partedit_subset/cases/real_0006/gt_mask.png,core/results/follow_your_shape/real_0006/seed_000/img_0.jpg,core/results/follow_your_shape/real_0006/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0006/seed_000/tdm/smoothed_soft_tdm.npy,0.029203869047619048,0.24292811201114103,34.24203821656051,17.609343745499512,0.869110107421875,0.2280128300189972,2,0,change man's posture,
real_0006_seed_001,real_0006,1,small,head,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,core/data/partedit_subset/cases/real_0006/source.png,core/data/partedit_subset/cases/real_0006/gt_mask.png,core/results/follow_your_shape/real_0006/seed_001/img_0.jpg,core/results/follow_your_shape/real_0006/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0006/seed_001/tdm/smoothed_soft_tdm.npy,0.029203869047619048,0.24292811201114103,34.24203821656051,17.609343745499512,0.869110107421875,0.2280128300189972,2,0,change man's posture,
real_0006_seed_002,real_0006,2,small,head,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,core/data/partedit_subset/cases/real_0006/source.png,core/data/partedit_subset/cases/real_0006/gt_mask.png,core/results/follow_your_shape/real_0006/seed_002/img_0.jpg,core/results/follow_your_shape/real_0006/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0006/seed_002/tdm/smoothed_soft_tdm.npy,0.029203869047619048,0.24292811201114103,34.24203821656051,17.609343745499512,0.869110107421875,0.2280128300189972,2,0,change man's posture,
real_0008_seed_000,real_0008,0,small,head,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,core/data/partedit_subset/cases/real_0008/source.png,core/data/partedit_subset/cases/real_0008/gt_mask.png,core/results/follow_your_shape/real_0008/seed_000/img_0.jpg,core/results/follow_your_shape/real_0008/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0008/seed_000/tdm/smoothed_soft_tdm.npy,0.067138671875,0.159410611551875,14.894545454545455,21.743051845807088,0.9542394876480103,0.198042556643486,0,1,did not modify the dog's head,
real_0008_seed_001,real_0008,1,small,head,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,core/data/partedit_subset/cases/real_0008/source.png,core/data/partedit_subset/cases/real_0008/gt_mask.png,core/results/follow_your_shape/real_0008/seed_001/img_0.jpg,core/results/follow_your_shape/real_0008/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0008/seed_001/tdm/smoothed_soft_tdm.npy,0.067138671875,0.159410611551875,14.894545454545455,21.743051845807088,0.9542394876480103,0.198042556643486,0,1,did not modify the dog's head,
real_0008_seed_002,real_0008,2,small,head,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,core/data/partedit_subset/cases/real_0008/source.png,core/data/partedit_subset/cases/real_0008/gt_mask.png,core/results/follow_your_shape/real_0008/seed_002/img_0.jpg,core/results/follow_your_shape/real_0008/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0008/seed_002/tdm/smoothed_soft_tdm.npy,0.067138671875,0.159410611551875,14.894545454545455,21.743051845807088,0.9542394876480103,0.198042556643486,0,1,did not modify the dog's head,
real_0003_seed_000,real_0003,0,small,head,cheetah,a horse running in a field,a horse with cheetah head running in a field,core/data/partedit_subset/cases/real_0003/source.png,core/data/partedit_subset/cases/real_0003/gt_mask.png,core/results/follow_your_shape/real_0003/seed_000/img_0.jpg,core/results/follow_your_shape/real_0003/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0003/seed_000/tdm/smoothed_soft_tdm.npy,0.044741363397560595,0.04371450999369311,8.450038530696121,18.412813922885555,0.9259583353996277,0.2085261642932891,0,0,did not change horse head,
real_0003_seed_001,real_0003,1,small,head,cheetah,a horse running in a field,a horse with cheetah head running in a field,core/data/partedit_subset/cases/real_0003/source.png,core/data/partedit_subset/cases/real_0003/gt_mask.png,core/results/follow_your_shape/real_0003/seed_001/img_0.jpg,core/results/follow_your_shape/real_0003/seed_001/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0003/seed_001/tdm/smoothed_soft_tdm.npy,0.044741363397560595,0.04371450999369311,8.450038530696121,18.412813922885555,0.9259583353996277,0.2085261642932891,0,0,did not change horse head,
real_0003_seed_002,real_0003,2,small,head,cheetah,a horse running in a field,a horse with cheetah head running in a field,core/data/partedit_subset/cases/real_0003/source.png,core/data/partedit_subset/cases/real_0003/gt_mask.png,core/results/follow_your_shape/real_0003/seed_002/img_0.jpg,core/results/follow_your_shape/real_0003/seed_002/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0003/seed_002/tdm/smoothed_soft_tdm.npy,0.044741363397560595,0.04371450999369311,8.450038530696121,18.412813922885555,0.9259583353996277,0.2085261642932891,0,0,did not change horse head,
real_0002_seed_000,real_0002,0,small,seat,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,core/data/partedit_subset/cases/real_0002/source.png,core/data/partedit_subset/cases/real_0002/gt_mask.png,core/results/follow_your_shape/real_0002/seed_000/img_0.jpg,core/results/follow_your_shape/real_0002/seed_000/tdm/binary_tdm_mask.npy,core/results/follow_your_shape/real_0002/seed_000/tdm/smoothed_soft_tdm.npy,0.05004011704738531,0.05186901944065934,10.349700293329933,21.723971105006193,0.9641039967536926,0.142717495560646,1,2,,
