case_uid,dataset_split,dataset_index,part_size,class_name,subject,part,edit,source_prompt,target_prompt,source_path,gt_mask_path,edited_result_path,run_log_path,binary_tdm_path,soft_tdm_path,smoothed_tdm_path,delta_stack_path,metadata_path,delta_dir,has_source,has_gt_mask,has_edit_result,has_run_log,has_binary_tdm,has_soft_tdm,has_smoothed_tdm,has_delta_stack,has_metadata,num_delta_maps,image_width,image_height,raw_tdm_shape,recorded_delta_steps,gt_area,pred_tdm_area,pred_to_gt_area_ratio,binary_iou,soft_ap,soft_inside_gt_mass,image_change_inside_gt
real_0006,real,6,small,animal_head,man,head,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0006/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0006/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0006/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8",0.0071868896484375,0.24609375,34.24203821656051,0.029203869047619048,0.24153375612518507,0.02481439395768138,0.020637719745680617
real_0008,real,8,small,animal_head,dog,head,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0008/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0008/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0008/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8",0.024127960205078125,0.359375,14.894545454545455,0.067138671875,0.16652967341206842,0.05761367213397274,0.053310173982075736
real_0003,real,3,small,animal_head,horse,head,cheetah,a horse running in a field,a horse with cheetah head running in a field,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0003/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0003/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0003/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8",0.02970123291015625,0.2509765625,8.450038530696121,0.044741363397560595,0.043428140609515505,0.03803249812250158,0.036876017646497526
real_0002,real,2,small,chair,chair,seat,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0002/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0002/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0002/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8",0.029911041259765625,0.3095703125,10.349700293329933,0.05004011704738531,0.05172908205446945,0.042487338298010935,0.06537255074561966
synth_0026,synth,26,small,humanoid_hair,man,hair,Curls,A Portrait of man at a house,A Portrait of man with Curls hair at a house,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0026/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0026/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0026/tdm/delta,True,True,True,True,True,True,True,True,True,15,1024,1024,64x64,"2,3,4,5,6,7,8",0.0059356689453125,0.173583984375,29.24421593830334,0.03358719107416416,0.05574369014494746,0.016517166616092118,0.0164414109392507
synth_0050,synth,50,small,carhood,racing-car,car hood,black,A racing-car at a highway,A racing-car with black car hood at a highway,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0050/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0050/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0050/tdm/delta,True,True,True,True,True,True,True,True,True,15,1024,1024,64x64,"2,3,4,5,6,7,8",0.012494087219238281,0.149169921875,11.939241279291657,0.08375741612111293,0.2769929961118024,0.05092983625295814,0.05438125652450439
synth_0040,synth,40,small,animal_head,bear,head,tiger,A bear at a pool,A bear with tiger head at a pool,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0040/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/synth_0040/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/synth_0040/tdm/delta,True,True,True,True,True,True,True,True,True,15,1024,1024,64x64,"2,3,4,5,6,7,8",0.013245582580566406,0.186767578125,14.100367197062424,0.0705757441182626,0.21999674991987617,0.04237210549574935,0.03809987152074142
real_0010,real,10,medium,animal_head,cow,head,dragon,a cow standing on a street,a cow with dragon head standing on a street,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0010/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0010/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0010/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8",0.0478515625,0.390625,8.16326530612245,0.09863893561706683,0.08432022400065924,0.07142049953339073,0.08118088851598107
real_0004,real,4,medium,carhood,toyota,carhood,rusted,a white toyota avanza parked in front of a house,a white toyota with rusted carhood avanza parked in front of a house,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0004/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0004/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0004/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8",0.053619384765625,0.3369140625,6.283437677859989,0.15600722673893405,0.2695995796887711,0.12441866390894789,0.07982074436849164
real_0007,real,7,medium,chair,armchair,seat,leather,a mahogany armchair,a mahogany armchair with leather seat,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0007/source.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/data/partedit_subset/cases/real_0007/gt_mask.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/img_0.jpg,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/run.log,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/binary_tdm_mask.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/aggregated_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/smoothed_soft_tdm.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/delta_stack.npy,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/tdm_metadata.json,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/follow_your_shape/real_0007/tdm/delta,True,True,True,True,True,True,True,True,True,15,512,512,32x32,"2,3,4,5,6,7,8",0.0550079345703125,0.1943359375,3.532871012482663,0.1261694319532744,0.1375724007766095,0.1032875165879262,0.10045557913175797
