row_uid,case_uid,seed,method,part,edit,part_size,footprint_change,source_prompt,target_prompt,source_image,gt_mask,edited_image
gt-diagnostic-v1::endpoint_auto::synth_0000::seed_000,synth_0000,0,endpoint_auto,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0000/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0000::seed_000,synth_0000,0,endpoint_gt,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0000/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0000::seed_000,synth_0000,0,rk2_auto,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0000/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0000::seed_000,synth_0000,0,rk2_gt,head,robot,small,comparable,A alien at a city,A alien with robot head at a city,core/data/partedit_subset/cases/synth_0000/source.png,core/data/partedit_subset/cases/synth_0000/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0000/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0001::seed_000,synth_0001,0,endpoint_auto,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0001/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0001::seed_000,synth_0001,0,endpoint_gt,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0001/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0001::seed_000,synth_0001,0,rk2_auto,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0001/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0001::seed_000,synth_0001,0,rk2_gt,head,bear,medium,comparable,A robot at a school,A robot with bear head at a school,core/data/partedit_subset/cases/synth_0001/source.png,core/data/partedit_subset/cases/synth_0001/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0001/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0002::seed_000,synth_0002,0,endpoint_auto,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0002/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0002::seed_000,synth_0002,0,endpoint_gt,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0002/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0002::seed_000,synth_0002,0,rk2_auto,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0002/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0002::seed_000,synth_0002,0,rk2_gt,head,bear,large,comparable,A robot at a park,A robot with bear head at a park,core/data/partedit_subset/cases/synth_0002/source.png,core/data/partedit_subset/cases/synth_0002/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0002/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0003::seed_000,synth_0003,0,endpoint_auto,head,robot,large,comparable,A alien at a museum,A alien with robot head at a museum,core/data/partedit_subset/cases/synth_0003/source.png,core/data/partedit_subset/cases/synth_0003/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0003/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0003::seed_000,synth_0003,0,endpoint_gt,head,robot,large,comparable,A alien at a museum,A alien with robot head at a museum,core/data/partedit_subset/cases/synth_0003/source.png,core/data/partedit_subset/cases/synth_0003/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0003/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0003::seed_000,synth_0003,0,rk2_auto,head,robot,large,comparable,A alien at a museum,A alien with robot head at a museum,core/data/partedit_subset/cases/synth_0003/source.png,core/data/partedit_subset/cases/synth_0003/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0003/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0003::seed_000,synth_0003,0,rk2_gt,head,robot,large,comparable,A alien at a museum,A alien with robot head at a museum,core/data/partedit_subset/cases/synth_0003/source.png,core/data/partedit_subset/cases/synth_0003/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0003/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0004::seed_000,synth_0004,0,endpoint_auto,head,tattooed,medium,comparable,A robot at a office,A robot with tattooed head at a office,core/data/partedit_subset/cases/synth_0004/source.png,core/data/partedit_subset/cases/synth_0004/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0004/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0004::seed_000,synth_0004,0,endpoint_gt,head,tattooed,medium,comparable,A robot at a office,A robot with tattooed head at a office,core/data/partedit_subset/cases/synth_0004/source.png,core/data/partedit_subset/cases/synth_0004/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0004/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0004::seed_000,synth_0004,0,rk2_auto,head,tattooed,medium,comparable,A robot at a office,A robot with tattooed head at a office,core/data/partedit_subset/cases/synth_0004/source.png,core/data/partedit_subset/cases/synth_0004/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0004/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0004::seed_000,synth_0004,0,rk2_gt,head,tattooed,medium,comparable,A robot at a office,A robot with tattooed head at a office,core/data/partedit_subset/cases/synth_0004/source.png,core/data/partedit_subset/cases/synth_0004/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0004/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0005::seed_000,synth_0005,0,endpoint_auto,head,robot,medium,comparable,A man at a gym,A man with robot head at a gym,core/data/partedit_subset/cases/synth_0005/source.png,core/data/partedit_subset/cases/synth_0005/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0005/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0005::seed_000,synth_0005,0,endpoint_gt,head,robot,medium,comparable,A man at a gym,A man with robot head at a gym,core/data/partedit_subset/cases/synth_0005/source.png,core/data/partedit_subset/cases/synth_0005/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0005/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0005::seed_000,synth_0005,0,rk2_auto,head,robot,medium,comparable,A man at a gym,A man with robot head at a gym,core/data/partedit_subset/cases/synth_0005/source.png,core/data/partedit_subset/cases/synth_0005/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0005/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_gt::synth_0005::seed_000,synth_0005,0,rk2_gt,head,robot,medium,comparable,A man at a gym,A man with robot head at a gym,core/data/partedit_subset/cases/synth_0005/source.png,core/data/partedit_subset/cases/synth_0005/gt_mask.png,core/results/gt_mask_diagnostic_v1/rk2_gt/synth_0005/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_auto::synth_0006::seed_000,synth_0006,0,endpoint_auto,head,robot,small,comparable,A girl at a beach,A girl with robot head at a beach,core/data/partedit_subset/cases/synth_0006/source.png,core/data/partedit_subset/cases/synth_0006/gt_mask.png,core/results/heldout_control_comparison/endpoint_projection/synth_0006/seed_000/img_0.jpg
gt-diagnostic-v1::endpoint_gt::synth_0006::seed_000,synth_0006,0,endpoint_gt,head,robot,small,comparable,A girl at a beach,A girl with robot head at a beach,core/data/partedit_subset/cases/synth_0006/source.png,core/data/partedit_subset/cases/synth_0006/gt_mask.png,core/results/gt_mask_diagnostic_v1/endpoint_gt/synth_0006/seed_000/img_0.jpg
gt-diagnostic-v1::rk2_auto::synth_0006::seed_000,synth_0006,0,rk2_auto,head,robot,small,comparable,A girl at a beach,A girl with robot head at a beach,core/data/partedit_subset/cases/synth_0006/source.png,core/data/partedit_subset/cases/synth_0006/gt_mask.png,core/results/heldout_control_comparison/residual_rk2/synth_0006/seed_000/img_0.jpg
