case_uid,dataset_id,dataset_split,dataset_index,id,class_name,subject,part,normalized_part,part_size,mask_area_ratio,edit,source_prompt,target_prompt,reference_target_prompt,source_image,gt_mask,partedit_reference,follow_your_shape_output_dir,follow_your_shape_vis_path,follow_your_shape_command,oracle_mask_arg
real_0006,Aleksandar/PartEdit-Bench,real,6,6,animal_head,man,head,head,small,0.0071868896484375,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,a alien standing in a park wearing a green shirt,core/data/partedit_subset/cases/real_0006/source.png,core/data/partedit_subset/cases/real_0006/gt_mask.png,core/data/partedit_subset/cases/real_0006/partedit_reference.png,core/results/follow_your_shape/real_0006,core/results/follow_your_shape/real_0006/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0006/source.png --source_prompt 'a man standing in a park wearing a green shirt' --target_prompt 'a man with alien head standing in a park wearing a green shirt' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0006 --vis_path ../../../results/follow_your_shape/real_0006/tdm,--mask_path ../../../data/partedit_subset/cases/real_0006/gt_mask.png
real_0008,Aleksandar/PartEdit-Bench,real,8,8,animal_head,dog,head,head,small,0.024127960205078125,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,a bear standing in a field with grass and water,core/data/partedit_subset/cases/real_0008/source.png,core/data/partedit_subset/cases/real_0008/gt_mask.png,core/data/partedit_subset/cases/real_0008/partedit_reference.png,core/results/follow_your_shape/real_0008,core/results/follow_your_shape/real_0008/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0008/source.png --source_prompt 'a dog standing in a field with grass and water' --target_prompt 'a dog with bear head standing in a field with grass and water' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0008 --vis_path ../../../results/follow_your_shape/real_0008/tdm,--mask_path ../../../data/partedit_subset/cases/real_0008/gt_mask.png
real_0003,Aleksandar/PartEdit-Bench,real,3,3,animal_head,horse,head,head,small,0.02970123291015625,cheetah,a horse running in a field,a horse with cheetah head running in a field,a cheetah running in a field,core/data/partedit_subset/cases/real_0003/source.png,core/data/partedit_subset/cases/real_0003/gt_mask.png,core/data/partedit_subset/cases/real_0003/partedit_reference.png,core/results/follow_your_shape/real_0003,core/results/follow_your_shape/real_0003/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0003/source.png --source_prompt 'a horse running in a field' --target_prompt 'a horse with cheetah head running in a field' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0003 --vis_path ../../../results/follow_your_shape/real_0003/tdm,--mask_path ../../../data/partedit_subset/cases/real_0003/gt_mask.png
real_0002,Aleksandar/PartEdit-Bench,real,2,2,chair,chair,seat,seat,small,0.029911041259765625,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,a mesh and table in front of a glass door,core/data/partedit_subset/cases/real_0002/source.png,core/data/partedit_subset/cases/real_0002/gt_mask.png,core/data/partedit_subset/cases/real_0002/partedit_reference.png,core/results/follow_your_shape/real_0002,core/results/follow_your_shape/real_0002/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0002/source.png --source_prompt 'a chair and table in front of a glass door' --target_prompt 'a chair with mesh seat and table in front of a glass door' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0002 --vis_path ../../../results/follow_your_shape/real_0002/tdm,--mask_path ../../../data/partedit_subset/cases/real_0002/gt_mask.png
synth_0026,Aleksandar/PartEdit-Bench,synth,26,26,humanoid_hair,man,hair,hair,small,0.0059356689453125,Curls,A Portrait of man at a house,A Portrait of man with Curls hair at a house,A Portrait of Curls at a house,core/data/partedit_subset/cases/synth_0026/source.png,core/data/partedit_subset/cases/synth_0026/gt_mask.png,core/data/partedit_subset/cases/synth_0026/partedit_reference.png,core/results/follow_your_shape/synth_0026,core/results/follow_your_shape/synth_0026/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/synth_0026/source.png --source_prompt 'A Portrait of man at a house' --target_prompt 'A Portrait of man with Curls hair at a house' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/synth_0026 --vis_path ../../../results/follow_your_shape/synth_0026/tdm,--mask_path ../../../data/partedit_subset/cases/synth_0026/gt_mask.png
synth_0050,Aleksandar/PartEdit-Bench,synth,50,50,carhood,racing-car,car hood,car hood,small,0.012494087219238281,black,A racing-car at a highway,A racing-car with black car hood at a highway,A black at a highway,core/data/partedit_subset/cases/synth_0050/source.png,core/data/partedit_subset/cases/synth_0050/gt_mask.png,core/data/partedit_subset/cases/synth_0050/partedit_reference.png,core/results/follow_your_shape/synth_0050,core/results/follow_your_shape/synth_0050/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/synth_0050/source.png --source_prompt 'A racing-car at a highway' --target_prompt 'A racing-car with black car hood at a highway' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/synth_0050 --vis_path ../../../results/follow_your_shape/synth_0050/tdm,--mask_path ../../../data/partedit_subset/cases/synth_0050/gt_mask.png
synth_0040,Aleksandar/PartEdit-Bench,synth,40,40,animal_head,bear,head,head,small,0.013245582580566406,tiger,A bear at a pool,A bear with tiger head at a pool,A tiger at a pool,core/data/partedit_subset/cases/synth_0040/source.png,core/data/partedit_subset/cases/synth_0040/gt_mask.png,core/data/partedit_subset/cases/synth_0040/partedit_reference.png,core/results/follow_your_shape/synth_0040,core/results/follow_your_shape/synth_0040/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/synth_0040/source.png --source_prompt 'A bear at a pool' --target_prompt 'A bear with tiger head at a pool' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/synth_0040 --vis_path ../../../results/follow_your_shape/synth_0040/tdm,--mask_path ../../../data/partedit_subset/cases/synth_0040/gt_mask.png
real_0010,Aleksandar/PartEdit-Bench,real,10,10,animal_head,cow,head,head,medium,0.0478515625,dragon,a cow standing on a street,a cow with dragon head standing on a street,a dragon standing on a street,core/data/partedit_subset/cases/real_0010/source.png,core/data/partedit_subset/cases/real_0010/gt_mask.png,core/data/partedit_subset/cases/real_0010/partedit_reference.png,core/results/follow_your_shape/real_0010,core/results/follow_your_shape/real_0010/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0010/source.png --source_prompt 'a cow standing on a street' --target_prompt 'a cow with dragon head standing on a street' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0010 --vis_path ../../../results/follow_your_shape/real_0010/tdm,--mask_path ../../../data/partedit_subset/cases/real_0010/gt_mask.png
real_0004,Aleksandar/PartEdit-Bench,real,4,4,carhood,toyota,carhood,car hood,medium,0.053619384765625,rusted,a white toyota avanza parked in front of a house,a white toyota with rusted carhood avanza parked in front of a house,a white rusted avanza parked in front of a house,core/data/partedit_subset/cases/real_0004/source.png,core/data/partedit_subset/cases/real_0004/gt_mask.png,core/data/partedit_subset/cases/real_0004/partedit_reference.png,core/results/follow_your_shape/real_0004,core/results/follow_your_shape/real_0004/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0004/source.png --source_prompt 'a white toyota avanza parked in front of a house' --target_prompt 'a white toyota with rusted carhood avanza parked in front of a house' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0004 --vis_path ../../../results/follow_your_shape/real_0004/tdm,--mask_path ../../../data/partedit_subset/cases/real_0004/gt_mask.png
real_0007,Aleksandar/PartEdit-Bench,real,7,7,chair,armchair,seat,seat,medium,0.0550079345703125,leather,a mahogany armchair,a mahogany armchair with leather seat,a mahogany leather,core/data/partedit_subset/cases/real_0007/source.png,core/data/partedit_subset/cases/real_0007/gt_mask.png,core/data/partedit_subset/cases/real_0007/partedit_reference.png,core/results/follow_your_shape/real_0007,core/results/follow_your_shape/real_0007/tdm,cd core/third_party/FollowYourShape/src && python edit.py --source_img_dir ../../../data/partedit_subset/cases/real_0007/source.png --source_prompt 'a mahogany armchair' --target_prompt 'a mahogany armchair with leather seat' --guidance 2 --num_steps 15 --front 2 --inject 4 --name flux-dev --offload --controlnet_type none --output_dir ../../../results/follow_your_shape/real_0007 --vis_path ../../../results/follow_your_shape/real_0007/tdm,--mask_path ../../../data/partedit_subset/cases/real_0007/gt_mask.png
